,z,dA (Mpc),Theta (deg),Phi (deg),Area (sr),radius (rad)
20,8.867878003332324,951.2630644741444,542.7405101572981,530.0626784129032,3.471751277740265e-10,1.0512339197704447e-05
21,10.207307597565723,865.9582212213402,433.7097987670058,561.5999945598983,4.189440177433169e-10,1.1547901220795715e-05
22,1.8849102963998754,1756.7952258062353,5.9753874820113815,854.8874105671572,1.0179057967703946e-10,5.692183046211752e-06
23,5.93044125619326,1210.7345173935914,128.75469901013915,448.89958822044855,2.143147315208137e-10,8.259449000865607e-06
24,3.925016216217845,1472.132600254606,298.83638929690574,776.2241963166455,1.4496261418209418e-10,6.792866347957036e-06
25,8.29732983575693,992.8693758094693,363.952429089166,119.95759069185185,3.1868794941750596e-10,1.0071818351580412e-05
26,2.106283912654072,1738.0904361403118,420.0962671680707,618.4804175732853,1.0399324568047212e-10,5.753440552959078e-06
27,9.854270421908675,886.9276881160931,525.1378073025987,769.383076566252,3.993681687145436e-10,1.127487633320008e-05
28,16.14976739237384,619.9952187378452,254.15295190186538,215.4520939931568,8.172843673967404e-10,1.6129156641493932e-05
29,17.74951260646099,576.1973192375909,273.67430540535395,72.61676381973305,9.46253297443632e-10,1.7355165784581808e-05
30,8.288838423644606,993.5156052673769,397.9182952865013,528.7341283921879,3.182735048705846e-10,1.0065267165389696e-05
31,15.928600862625611,626.5901457050592,384.4416049824977,956.2523602573955,8.00170897105873e-10,1.5959395577068454e-05
32,13.270149214101023,718.7051276430825,546.0122033288577,711.5350429077552,6.082027590713404e-10,1.3913912139174439e-05
33,9.221783967838677,927.1416149961688,110.92382305163282,474.65906807088436,3.6547504043448773e-10,1.078583879555587e-05
34,0.6030490033528002,1379.6969893069931,315.00769346463926,698.2795645030781,1.747094641402323e-11,2.358214359334376e-06
35,15.503933610612602,639.6621208862027,21.055051363825363,476.7902358044959,7.678008795713971e-10,1.5633253359048006e-05
36,3.4624931555416505,1542.894144821163,320.39535578803793,656.1459795867762,1.3197072751636054e-10,6.481326041430471e-06
37,3.673296622449973,1510.3076665779433,205.0566056219356,1127.8788926080204,1.3772697814919756e-10,6.621167475536961e-06
38,12.638123389720906,744.8039831155464,182.9784669330612,493.1920026507078,5.663252059996548e-10,1.3426351398081384e-05
39,4.391046454080724,1404.282141959024,74.838408759659,350.5305363866433,1.5930929900579764e-10,7.12107610088215e-06
40,4.652079505320826,1368.108695147895,74.33470312459207,959.6851317954681,1.6784509973922954e-10,7.309360751426978e-06
41,12.955199652208861,731.4749923423028,547.698145405891,614.5629925754864,5.871524894484624e-10,1.367100735457594e-05
42,16.506002868418328,609.6647345178383,36.64325632324574,165.89315723037302,8.452160276814098e-10,1.6402457668653965e-05
43,6.678190564985518,1132.7947550197612,73.81709657639286,1017.6287890445864,2.44820293172652e-10,8.827724489089423e-06
44,14.109774500830262,686.7705872311454,533.5489799351938,201.82786376618608,6.660801610381662e-10,1.4560903139892788e-05
45,19.09928453584648,543.8617793156558,417.98428698842025,784.3654340145304,1.0621180618137996e-09,1.838702475578088e-05
46,3.273271926159007,1572.4357657506591,555.0535810238467,807.8809562851627,1.2705859414749362e-10,6.359560255376243e-06
47,13.072865198269097,726.6507138919964,78.96260013985486,82.65036144230824,5.949746518902085e-10,1.3761770006994477e-05
48,3.630611815891156,1516.8673584958162,84.93338857809957,48.67157261031721,1.3653835336485324e-10,6.592534241040287e-06
49,11.188226085714524,812.5863550526514,23.985630925576913,364.6376055585366,4.757850832077278e-10,1.230638434650069e-05
50,6.332810101083406,1167.6106261577227,150.7599749709702,682.8428027467653,2.3043783971611978e-10,8.564498965641638e-06
51,4.33065099331545,1412.8450334370352,297.48153861468427,837.9275593626295,1.573840852275108e-10,7.077917084560187e-06
52,11.586437586475531,792.7601519132222,35.49100054671373,476.74256067034435,4.998805606759421e-10,1.2614155713889399e-05
53,2.2422800398527376,1723.0461784836414,557.5538862947626,874.3583497766849,1.0581714475773512e-10,5.8036749826406e-06
54,15.414342891640878,642.4910967344692,93.85401864470894,369.0740241410046,7.610543015996332e-10,1.556441801423566e-05
55,3.0361790982121484,1609.4797456382478,82.87718113156446,1013.2838327548598,1.2127711055084942e-10,6.213187849738641e-06
56,8.743970742693545,960.004191503396,119.1711573988639,443.74630904942063,3.4088164284330337e-10,1.041662118614263e-05
57,7.392744619352845,1066.6437021034828,294.9200608973057,203.01683593447294,2.7612843138294465e-10,9.375201841326606e-06
58,8.240982672981074,997.1730717688413,10.329571077359782,656.0764329256076,3.159430370747503e-10,1.002834942409891e-05
59,17.3814004642477,585.7081734074329,523.0091625339129,555.5522599278245,9.15771879606956e-10,1.707334890312988e-05
60,3.0378768119762034,1609.2156139494764,63.85208367485779,666.2641009187669,1.2131692592008998e-10,6.214207663233601e-06
61,16.72932143431156,603.3655392734004,469.80085100160284,609.0797528137073,8.629564285422107e-10,1.6573700931018443e-05
62,15.613241796944797,636.2446684306556,209.41367550366533,1113.571012635677,7.760711883158838e-10,1.5717224043174677e-05
63,13.137010255735431,724.047819901711,232.52277783812707,558.0620809207913,5.992601135689846e-10,1.3811242469257753e-05
64,2.1349348599172724,1735.110049095437,7.0574074398438364,241.65967954934658,1.043508095288174e-10,5.763323199709026e-06
65,17.565007443163662,580.924680840828,104.03137106889095,128.70676674460213,9.309154037267154e-10,1.721393552349341e-05
66,18.219564845336684,564.5006802560989,190.7640671637511,604.4345682496224,9.85872910722693e-10,1.7714770503842912e-05
67,7.5172594624980205,1055.865532351086,238.0657239285934,822.2301460657447,2.8179458712438616e-10,9.470902964066924e-06
68,10.612682004917326,843.0713416578538,136.87166965963013,939.0829753169214,4.4199893136889216e-10,1.186139239454581e-05
69,7.457102810582259,1061.0464698244734,551.9619755580215,981.774952898099,2.7904938078356717e-10,9.424657905562118e-06
70,0.6546804248206062,1432.2993151570633,116.30150520178422,592.0865246782292,1.8995597114900887e-11,2.4589604217305418e-06
71,7.637649602796291,1045.642241640546,554.4692756493044,308.65402974306267,2.8733176046487174e-10,9.563500403647272e-06
